s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_HEPTAN_SURROGATE,MLR_PRODUCTS,ZONE_1
 2.1200478E+002, 1.9101552E+001, 0.0000000E+000,-9.0144146E+000,-4.0908781E-006,-9.5420390E+000, 0.0000000E+000, 2.8136074E-001, 0.0000000E+000, 8.3157341E-001, 8.2645560E-001, 0.0000000E+000, 5.7762550E-004, 0.0000000E+000, 7.8997526E+003
 2.1300581E+002, 2.8200402E+001, 0.0000000E+000,-1.1312472E+001,-4.5308390E-005,-9.5310290E+000, 0.0000000E+000, 3.0081279E+000, 0.0000000E+000, 1.0419197E+001, 1.0364984E+001, 0.0000000E+000, 5.7748690E-004, 0.0000000E+000, 7.9629153E+003
 2.1400496E+002, 2.5041369E+001, 0.0000000E+000,-1.0282249E+001, 8.2727963E-005,-9.6984119E+000, 0.0000000E+000, 2.0881093E+000, 0.0000000E+000, 7.1318958E+000, 7.1488999E+000, 0.0000000E+000, 5.7283728E-004, 0.0000000E+000, 8.0064505E+003
 2.1500043E+002, 2.1719167E+001, 0.0000000E+000,-9.3247042E+000, 5.0010997E-006,-9.8635118E+000, 0.0000000E+000, 1.1723158E+000, 0.0000000E+000, 3.8908126E+000, 3.7032722E+000, 0.0000000E+000, 5.6637852E-004, 0.0000000E+000, 8.0313639E+003
 2.1600555E+002, 1.7654323E+001, 0.0000000E+000,-8.5385484E+000, 2.0271774E-005,-9.9161896E+000, 0.0000000E+000,-2.3443096E-001, 0.0000000E+000,-9.9241869E-001,-1.0348257E+000, 0.0000000E+000, 5.5812304E-004, 0.0000000E+000, 8.0263713E+003
 2.1700407E+002, 2.1410605E+001, 0.0000000E+000,-9.5679824E+000, 5.9019082E-006,-9.9439614E+000, 0.0000000E+000, 8.2012337E-001, 0.0000000E+000, 2.7229532E+000, 2.7187904E+000, 0.0000000E+000, 5.5188074E-004, 0.0000000E+000, 8.0433626E+003
 2.1800439E+002, 2.1556897E+001, 0.0000000E+000,-9.5635342E+000,-1.6939847E-005,-1.0011462E+001, 0.0000000E+000, 9.0526023E-001, 0.0000000E+000, 2.9887279E+000, 2.8871444E+000, 0.0000000E+000, 5.4759470E-004, 0.0000000E+000, 8.0625414E+003
 2.1900305E+002, 2.1375398E+001, 0.0000000E+000,-9.4832072E+000,-1.9999501E-005,-1.0160810E+001, 0.0000000E+000, 7.8556709E-001, 0.0000000E+000, 2.5853279E+000, 2.5169284E+000, 0.0000000E+000, 5.4576758E-004, 0.0000000E+000, 8.0790269E+003
 2.2000244E+002, 2.1816918E+001, 0.0000000E+000,-9.8967894E+000,-6.1465584E-006,-1.0085663E+001, 0.0000000E+000, 7.9025675E-001, 0.0000000E+000, 2.6304991E+000, 2.6247164E+000, 0.0000000E+000, 5.4632107E-004, 0.0000000E+000, 8.0954201E+003
 2.2100812E+002, 2.7120017E+001, 0.0000000E+000,-1.0805981E+001,-1.8515387E-005,-1.0130171E+001, 0.0000000E+000, 2.5793362E+000, 0.0000000E+000, 8.8365389E+000, 8.7631826E+000, 0.0000000E+000, 5.5092331E-004, 0.0000000E+000, 8.1499266E+003
 2.2200439E+002, 1.8950185E+001, 0.0000000E+000,-8.8287232E+000, 3.8587709E-005,-1.0262919E+001, 0.0000000E+000, 5.4020820E-002, 0.0000000E+000,-2.1250762E-002,-8.7397217E-002, 0.0000000E+000, 5.5944157E-004, 0.0000000E+000, 8.1510747E+003
 2.2300830E+002, 2.2917243E+001, 0.0000000E+000,-1.0123133E+001,-3.7101966E-005,-1.0193857E+001, 0.0000000E+000, 1.1114992E+000, 0.0000000E+000, 3.7374147E+000, 3.7117144E+000, 0.0000000E+000, 5.6732000E-004, 0.0000000E+000, 8.1743869E+003
 2.2400198E+002, 2.0871456E+001, 0.0000000E+000,-9.2484143E+000, 4.1802628E-005,-1.0209504E+001, 0.0000000E+000, 6.8882663E-001, 0.0000000E+000, 2.2061896E+000, 2.1024068E+000, 0.0000000E+000, 5.7458020E-004, 0.0000000E+000, 8.1888712E+003
 2.2500024E+002, 2.7450100E+001, 0.0000000E+000,-1.1743863E+001,-7.4876480E-005,-1.0170477E+001, 0.0000000E+000, 2.2323896E+000, 0.0000000E+000, 7.7090277E+000, 7.7680741E+000, 0.0000000E+000, 5.7978406E-004, 0.0000000E+000, 8.2352317E+003
 2.2600061E+002, 2.2031853E+001, 0.0000000E+000,-9.3673456E+000, 5.8507017E-006,-9.9912541E+000, 0.0000000E+000, 1.2166679E+000, 0.0000000E+000, 4.0085229E+000, 3.8899268E+000, 0.0000000E+000, 5.8301332E-004, 0.0000000E+000, 8.2610148E+003
 2.2700098E+002, 1.8078976E+001, 0.0000000E+000,-8.8173436E+000, 2.7728833E-005,-1.0206239E+001, 0.0000000E+000,-2.7821926E-001, 0.0000000E+000,-1.1814266E+000,-1.2227983E+000, 0.0000000E+000, 5.8356048E-004, 0.0000000E+000, 8.2551368E+003
