Time_s,MLR_kg_s,HRR_kW,HRRPUA_kW_m2,F_normalized
211.0,0.0005758706293706315,22.76992468531477,1011.9966526806564,0.9075008402836585
212.0,0.0005798543123543132,22.927439510489542,1018.997311577313,0.9137786316324998
213.0,0.0005782599067599078,22.864396713286755,1016.1954094794114,0.9112660457444904
214.0,0.0005705559440559457,22.55978202797209,1002.6569790209818,0.8991255539902911
215.0,0.0005614871794871806,22.20120307692312,986.7201367521387,0.8848343034094387
216.0,0.0005540641025641043,21.907694615384685,973.6753162393194,0.8731364528825865
217.0,0.0005486946386946405,21.695386013986088,964.2393783993817,0.8646748423664596
218.0,0.0005454860139860152,21.56851699300704,958.6007552447574,0.8596184469353977
219.0,0.000544921911421913,21.54621237762244,957.6094390054418,0.8587294911095235
220.0,0.0005465932400932418,21.61229671328678,960.5465205905236,0.8613632982465165
221.0,0.0005527156177156191,21.85437552447558,971.3055788655813,0.8710114076542033
222.0,0.0005636130536130553,22.285260139860206,990.4560062160092,0.8881844179267862
223.0,0.0005730675990676009,22.659092867132937,1007.0707940947973,0.9030836114381434
224.0,0.0005781468531468548,22.859926573426637,1015.9967365967394,0.9110878872421981
225.0,0.0005818519813519828,23.0064273426574,1022.5078818958845,0.916926710734876
226.0,0.0005846165501165517,23.115738391608456,1027.3661507381537,0.9212833289558994
227.0,0.0005840909090909113,23.09495454545463,1026.4424242424282,0.9204549837545168
228.0,0.0005804475524475547,22.950896223776315,1020.0398321678363,0.9147135045981434
229.0,0.0005768426573426589,22.808358671328733,1013.7048298368326,0.9090326360662601
230.0,0.0005741620046620056,22.7023656643357,1008.9940295260312,0.904808259207763
231.0,0.0005746841491841505,22.72301125874131,1009.9116114996137,0.9056310943523749
232.0,0.000578698135198137,22.881724265734334,1016.965522921526,0.9119566395265761
233.0,0.0005823449883449897,23.025920839160893,1023.374259518262,0.917703628739721
234.0,0.0005847494172494187,23.120991958042016,1027.5996425796452,0.9214927111132332
235.0,0.0005876608391608405,23.236109580419633,1032.7159813519838,0.9260807517186781
236.0,0.0005888310023310038,23.282377832167892,1034.7723480963507,0.9279247840516913
237.0,0.0005835337995338018,23.072926433566522,1025.463397047401,0.9195770480421859
238.0,0.0005750501165501183,22.73748160839168,1010.5547381507413,0.90620781362784
239.0,0.0005697121212121224,22.52641727272732,1001.1741010101031,0.8977957936226596
240.0,0.0005674801864801878,22.438166573426628,997.2518477078502,0.8942785407165641
241.0,0.0005670442890442909,22.420931188811263,996.485830613834,0.8935916203056616
242.0,0.0005678717948717966,22.453650769230837,997.9400341880372,0.8948956670750232
243.0,0.0005700780885780902,22.540887622377685,1001.8172276612305,0.8983725128981245
244.0,0.0005748531468531488,22.729693426573505,1010.2085967366003,0.9058974137630204
245.0,0.0005807808857808874,22.964076223776285,1020.6256099456127,0.9152387966770683
246.0,0.0005828391608391624,23.045460419580483,1024.242685314688,0.9184823834301571
247.0,0.000580459207459209,22.951357062937124,1020.0603139083166,0.9147318714540487
248.0,0.0005782890442890453,22.865548811188848,1016.2466138306155,0.9113119628842564
249.0,0.0005777878787878804,22.845732727272793,1015.3658989899019,0.9105221880802779
250.0,0.0005776188811188831,22.839050559440636,1015.0689137529172,0.9102558686696339
251.0,0.0005783240093240113,22.866931328671406,1016.3080590520625,0.9113670634519776
252.0,0.000582688811188813,23.039515594405668,1023.9784708624742,0.9182454509889637
253.0,0.0005896083916083934,23.313115804195878,1036.1384801864835,0.9291498533406559
254.0,0.0005961060606060622,23.570033636363696,1047.5570505050532,0.9393893755085321
255.0,0.0006005419580419589,23.745429020979056,1055.3524009324026,0.946379800866547
256.0,0.0006030920745920756,23.846260629370672,1059.8338057498077,0.9503984689388906
257.0,0.0006070512820512833,24.00280769230774,1066.7914529914551,0.9566376898903306
258.0,0.000611168997668999,24.165622167832222,1074.0276519036543,0.9631267000820992
259.0,0.0006125827505827525,24.221521958042032,1076.5120870240903,0.9653545997035591
260.0,0.0006126107226107246,24.22262797202805,1076.5612432012467,0.9653986801577349
261.0,0.0006132284382284404,24.24705244755253,1077.6467754467792,0.96637212352078
262.0,0.0006151060606060627,24.32129363636372,1080.9463838383876,0.969331024007318
263.0,0.0006157086247086268,24.345119020979105,1082.0052898212937,0.9702805904576843
264.0,0.0006153111888111908,24.32940440559448,1081.3068624708658,0.969654280671272
265.0,0.000615623543123545,24.34175489510497,1081.8557731157764,0.9701465124095663
266.0,0.000617750582750585,24.425858041958133,1085.5936907536948,0.9734984636125043
267.0,0.0006217389277389299,24.583557202797287,1092.6025423465462,0.9797836017037101
268.0,0.0006261282051282068,24.7571092307693,1100.315965811969,0.9867005596380994
269.0,0.0006305023310023325,24.93006216783223,1108.0027630147658,0.9935936406598106
270.0,0.0006340034965034981,25.068498251748316,1114.1554778554807,0.9991110441741249
271.0,0.0006345675990676008,25.090802867132936,1115.1467940947973,1.0
272.0,0.0006285827505827522,24.854161958042024,1104.6294203574232,0.9905686194920093
273.0,0.0006179557109557128,24.433968811188883,1085.9541693861727,0.9738217202764581
274.0,0.0006079603729603749,24.03875314685322,1068.3890287490321,0.9580703046510392
275.0,0.0005983624708624725,23.65925209790216,1051.5223154623184,0.9429451988120316
276.0,0.0005900349650349666,23.329982517482577,1036.8881118881145,0.9298220802668333
277.0,0.0005829125874125887,23.04836370629376,1024.3717202797227,0.9185980946223677
278.0,0.0005772097902097917,22.82287510489516,1014.3500046620072,0.9096111920273149
279.0,0.0005724743589743606,22.635636153846217,1006.0282735042764,0.9021487384725021
280.0,0.0005665116550116567,22.399870839160904,995.549815073818,0.892752254990734
281.0,0.0005578962703962718,22.059218531468588,980.4097125097151,0.8791754751046449
282.0,0.0005444405594405609,21.52717972027978,956.7635431235458,0.8579709399605846
283.0,0.0005313881118881134,21.011085944056003,933.8260419580446,0.8374018980308893
284.0,0.0005211013986014,20.604349300699354,915.7488578088602,0.8211913110078075
285.0,0.0005116888111888125,20.232175594405646,899.2078041958065,0.8063582381777138
286.0,0.0005051363636363648,19.973091818181864,887.6929696969718,0.7960323917870763
287.0,0.0005037727272727285,19.919173636363684,885.2966060606083,0.7938834696460153
288.0,0.0005060000000000013,20.007240000000053,889.210666666669,0.7973933758097486
289.0,0.0005070909090909107,20.05037454545461,891.1277575757605,0.7991125135225979
290.0,0.0005078368298368314,20.079868251748316,892.4385889665919,0.8002879923006143
291.0,0.0005078974358974373,20.08226461538467,892.5450940170965,0.8003834999513277
292.0,0.0005061911421911436,20.01479776223782,889.5465672105698,0.7976945922466155
293.0,0.0005054335664335678,19.984843216783272,888.2152540792565,0.7965007466126924
294.0,0.0005045337995338011,19.949266433566496,886.6340637140665,0.7950828253367106
295.0,0.000501854312354314,19.843319510489575,881.9253115773145,0.7908602851638051
296.0,0.0004989836829836845,19.729814825174884,876.8806588966615,0.7863365285540327
297.0,0.0004982470862470877,19.700689790209847,875.5862128982154,0.7851757432607414
298.0,0.0004959044289044302,19.60806111888117,871.4693830613854,0.7814840052235337
299.0,0.0004912237762237776,19.422988111888166,863.2439160839185,0.7741078758914812
300.0,0.00048769930069930223,19.28363034965041,857.0502377622404,0.7685537386653541
301.0,0.00048240326340326487,19.074225034965092,847.7433348873375,0.7602078393414381
302.0,0.0004746282051282065,18.766799230769287,834.0799658119683,0.7479553097662084
303.0,0.0004674009324009337,18.481032867132917,821.3792385392408,0.7365660224185842
304.0,0.0004615664335664349,18.250336783216834,811.1260792540816,0.7273715743517877
305.0,0.0004545081585081598,17.97125258741264,798.7223372183396,0.7162486064148081
306.0,0.0004469871794871807,17.673873076923126,785.5054700854723,0.7043964742983402
307.0,0.00044063752913753025,17.422807902097947,774.34701787102,0.694390211200476
308.0,0.0004337610722610733,17.15091279720284,762.2627909867929,0.6835537662156377
309.0,0.0004280862470862482,16.926530209790254,752.2902315462336,0.6746109440747603
310.0,0.0004243193473193485,16.77758699300704,745.6705330225352,0.668674776245778
311.0,0.0004199335664335677,16.604173216783266,737.9632540792563,0.6617633283681601
312.0,0.0004146736596736608,16.396196503496547,728.7198445998466,0.6534743662975541
313.0,0.000410406759906761,16.22748328671333,721.2214794094814,0.6467502603501823
314.0,0.000406804195804197,16.085037902097948,714.8905734265755,0.6410730651894817
315.0,0.00040247086247086376,15.913697902097953,707.2754623154646,0.6342442681634431
316.0,0.0004002634032634044,15.826414965035012,703.3962206682228,0.6307655856547509
317.0,0.00040003496503496607,15.817382517482558,702.9947785547804,0.6304055952789832
318.0,0.00039898368298368415,15.775814825174871,701.1473255633276,0.6287489048762166
319.0,0.00039692074592074703,15.694246293706337,697.5220574980594,0.625497971380765
320.0,0.000393864801864803,15.573414265734309,692.1517451437471,0.6206821817620795
321.0,0.0003847738927738938,15.21395972027976,676.1759875679894,0.6063560341550052
322.0,0.0003656060606060616,14.456063636363675,642.491717171719,0.5761499029311665
323.0,0.0003378379953379963,13.358114335664373,593.6939704739722,0.5323908687339175
324.0,0.0003037692307692316,12.011035384615417,533.8237948717963,0.4787027122336116
325.0,0.0002681317016317024,10.601927482517514,471.1967770007784,0.42254237692829033
326.0,0.0002379650349650356,9.409137482517508,418.18388811188925,0.3750034437854824
327.0,0.00021456293706293764,8.483818531468554,377.05860139860243,0.3381246338108103
328.0,0.00019223193473193528,7.600850699300721,337.8155866355876,0.30293373789394606
329.0,0.00016944755244755293,6.699956223776243,297.775832167833,0.26702837128231877
330.0,0.00014563006993007004,5.75821296503497,255.92057622377644,0.22949496656313834
331.0,0.00012227762237762243,4.834857188811191,214.88254172494183,0.19269439939462796
332.0,9.939020979020976e-05,3.929888895104894,174.66172867132863,0.1566266697767871
333.0,7.696783216783204e-05,3.0433080839160787,135.25813706293684,0.12129177770961579
334.0,5.5010489510489276e-05,2.175114755244746,96.6717668997665,0.08668972319311402
