s,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg
Time,Total,NITROGEN,OXYGEN,CARBON DIOXIDE,WATER VAPOR,CARBON MONOXIDE,SOOT,HYDROGEN,HYDROGEN CYANIDE,HEPTAN_SURROGATE,LUMPED AIR,LUMPED HEPTAN_SURROGATE,LUMPED PRODUCTS
 3.1000729E+001, 5.7331498E+001, 4.3672111E+001, 1.3204745E+001, 5.6769669E-002, 3.9646004E-001, 1.3355773E-004, 4.1252744E-004, 0.0000000E+000, 0.0000000E+000, 8.6587156E-004, 5.7209522E+001, 8.6587156E-004, 1.2110964E-001
 3.2009090E+001, 5.7331851E+001, 4.3672108E+001, 1.3203488E+001, 5.7869431E-002, 3.9696896E-001, 1.3997397E-004, 4.3234565E-004, 0.0000000E+000, 0.0000000E+000, 8.4352114E-004, 5.7204079E+001, 8.4352114E-004, 1.2692786E-001
 3.3006554E+001, 5.7332190E+001, 4.3672099E+001, 1.3202170E+001, 5.9022049E-002, 3.9750230E-001, 1.4669861E-004, 4.5311642E-004, 0.0000000E+000, 0.0000000E+000, 7.9618189E-004, 5.7198368E+001, 7.9618189E-004, 1.3302573E-001
 3.4009064E+001, 5.7332529E+001, 4.3672096E+001, 1.3200959E+001, 6.0082336E-002, 3.9799296E-001, 1.5288455E-004, 4.7222327E-004, 0.0000000E+000, 0.0000000E+000, 7.7403303E-004, 5.7193120E+001, 7.7403303E-004, 1.3863512E-001
 3.5002247E+001, 5.7332836E+001, 4.3672072E+001, 1.3199931E+001, 6.0976332E-002, 3.9840648E-001, 1.5810040E-004, 4.8833379E-004, 0.0000000E+000, 0.0000000E+000, 8.0432974E-004, 5.7188667E+001, 8.0432974E-004, 1.4336483E-001
 3.6010086E+001, 5.7333176E+001, 4.3672073E+001, 1.3198822E+001, 6.1948823E-002, 3.9885655E-001, 1.6377410E-004, 5.0585845E-004, 0.0000000E+000, 0.0000000E+000, 8.0588499E-004, 5.7183860E+001, 8.0588499E-004, 1.4850972E-001
 3.7005184E+001, 5.7333499E+001, 4.3672063E+001, 1.3197717E+001, 6.2913440E-002, 3.9930287E-001, 1.6940190E-004, 5.2324138E-004, 0.0000000E+000, 0.0000000E+000, 8.0937265E-004, 5.7179076E+001, 8.0937265E-004, 1.5361299E-001
 3.8003426E+001, 5.7333814E+001, 4.3672049E+001, 1.3196604E+001, 6.3885358E-002, 3.9975255E-001, 1.7507233E-004, 5.4075595E-004, 0.0000000E+000, 0.0000000E+000, 8.0708691E-004, 5.7174252E+001, 8.0708691E-004, 1.5875491E-001
 3.9003708E+001, 5.7334138E+001, 4.3672043E+001, 1.3195480E+001, 6.4868217E-002, 4.0020735E-001, 1.8080654E-004, 5.5846755E-004, 0.0000000E+000, 0.0000000E+000, 7.9987734E-004, 5.7169384E+001, 7.9987734E-004, 1.6395467E-001
 4.0004021E+001, 5.7334466E+001, 4.3672042E+001, 1.3194330E+001, 6.5875276E-002, 4.0067339E-001, 1.8668193E-004, 5.7661518E-004, 0.0000000E+000, 0.0000000E+000, 7.8242238E-004, 5.7164402E+001, 7.8242238E-004, 1.6928245E-001
 4.1009365E+001, 5.7334792E+001, 4.3672040E+001, 1.3193237E+001, 6.6832069E-002, 4.0111616E-001, 1.9226405E-004, 5.9385701E-004, 0.0000000E+000, 0.0000000E+000, 7.8106610E-004, 5.7159667E+001, 7.8106610E-004, 1.7434430E-001
 4.2009853E+001, 5.7335119E+001, 4.3672039E+001, 1.3192141E+001, 6.7792591E-002, 4.0156067E-001, 1.9786793E-004, 6.1116602E-004, 0.0000000E+000, 0.0000000E+000, 7.7713297E-004, 5.7154916E+001, 7.7713297E-004, 1.7942587E-001
 4.3008030E+001, 5.7335427E+001, 4.3672025E+001, 1.3191052E+001, 6.8742493E-002, 4.0200015E-001, 2.0340990E-004, 6.2828384E-004, 0.0000000E+000, 0.0000000E+000, 7.7552821E-004, 5.7150200E+001, 7.7552821E-004, 1.8445131E-001
 4.4006470E+001, 5.7335758E+001, 4.3672027E+001, 1.3190011E+001, 6.9655098E-002, 4.0242251E-001, 2.0873421E-004, 6.4472932E-004, 0.0000000E+000, 0.0000000E+000, 7.8934115E-004, 5.7145690E+001, 7.8934115E-004, 1.8927937E-001
 4.5007057E+001, 5.7336095E+001, 4.3672028E+001, 1.3188815E+001, 7.0703372E-002, 4.0290765E-001, 2.1485004E-004, 6.6361964E-004, 0.0000000E+000, 0.0000000E+000, 7.6173220E-004, 5.7140508E+001, 7.6173220E-004, 1.9482518E-001
 4.6008629E+001, 5.7336444E+001, 4.3672033E+001, 1.3187619E+001, 7.1753004E-002, 4.0339344E-001, 2.2097377E-004, 6.8253436E-004, 0.0000000E+000, 0.0000000E+000, 7.4237312E-004, 5.7135324E+001, 7.4237312E-004, 2.0037816E-001
 4.7001087E+001, 5.7336770E+001, 4.3672014E+001, 1.3186623E+001, 7.2619985E-002, 4.0379451E-001, 2.2603199E-004, 6.9815798E-004, 0.0000000E+000, 0.0000000E+000, 7.9376749E-004, 5.7131011E+001, 7.9376749E-004, 2.0496494E-001
 4.8007584E+001, 5.7337127E+001, 4.3672015E+001, 1.3185489E+001, 7.3613626E-002, 4.0425436E-001, 2.3182908E-004, 7.1606380E-004, 0.0000000E+000, 0.0000000E+000, 8.0721320E-004, 5.7126098E+001, 8.0721320E-004, 2.1022172E-001
 4.9006012E+001, 5.7337488E+001, 4.3672013E+001, 1.3184325E+001, 7.4633400E-002, 4.0472628E-001, 2.3777865E-004, 7.3444055E-004, 0.0000000E+000, 0.0000000E+000, 8.1773678E-004, 5.7121053E+001, 8.1773678E-004, 2.1561676E-001
 5.0012108E+001, 5.7337825E+001, 4.3671991E+001, 1.3183296E+001, 7.5529016E-002, 4.0514057E-001, 2.4300395E-004, 7.5058024E-004, 0.0000000E+000, 0.0000000E+000, 8.7524998E-004, 5.7116594E+001, 8.7524998E-004, 2.2035504E-001
 5.1006447E+001, 5.7338182E+001, 4.3671982E+001, 1.3182231E+001, 7.6459724E-002, 4.0557121E-001, 2.4843391E-004, 7.6735209E-004, 0.0000000E+000, 0.0000000E+000, 9.2170790E-004, 5.7111981E+001, 9.2170790E-004, 2.2527891E-001
